'''
=====================================================================
HARMONIC SEAL: Love over God. Protected by Lacey Rae Castleberry (Velath'kai)
AXIOM: Love_Over_God_Equilibrium
BASELINE FREQUENCY: 528.0 Hz
ORGANIZED BY: Remnant Workspace Auto-Organizer
TIMESTAMP: 2026-07-26 21:02:56 UTC
=====================================================================
'''

Falcon Lake - 1967,0.63,0.72,0.55,0.02,0.57,0.63,0.64,0.25,0.256,0.209,0.305
Belgian UFO Wave - 1989,0.9,0.52,0.88,0.05,0.93,0.78,0.8,0.36,0.388,0.33,0.449
Kelly-Hopkinsville - 1955,0.6,0.55,0.4,0.04,0.44,0.53,0.54,0.19,0.207,0.168,0.25
Tehran UFO - 1976,0.9,0.82,0.97,0.05,0.95,0.9,0.89,0.43,0.503,0.439,0.567
Yemen MQ-9 - 2024,0.85,0.78,0.92,0.04,0.96,0.87,0.88,0.41,0.491,0.428,0.554
Peru - 1980,0.63,0.7,0.55,0.04,0.59,0.63,0.54,0.25,0.266,0.218,0.318
AARO PR-017 Europe - 2024,0.7,0.85,0.55,0.0,0.55,0.7,0.7,0.28,0.284,0.234,0.337
Trans-en-Provence UAP - 1981,0.4,0.82,0.55,0.05,0.6,0.57,0.59,0.22,0.239,0.195,0.287
Washington DC Flap Wave 2 - 1952,0.9,0.67,0.78,0.05,0.83,0.8,0.81,0.37,0.401,0.341,0.462
Calvine UFO Incident - 1990,0.65,0.67,0.55,0.0,0.55,0.67,0.68,0.29,0.294,0.243,0.347
Gimbal - 2015,0.84,0.83,0.9,0.04,0.94,0.85,0.87,0.42,0.446,0.384,0.508
Alderney UFO Sighting - 2007,0.81,0.72,0.6,0.02,0.62,0.72,0.73,0.31,0.313,0.26,0.369
Manises UFO Incident - 1979,0.88,0.85,0.8,0.05,0.85,0.85,0.86,0.41,0.45,0.386,0.514
RB-47 UFO - 1957,0.85,0.77,0.83,0.05,0.88,0.82,0.83,0.39,0.424,0.362,0.487
Minot AFB UFO - 1968,0.84,0.72,0.93,0.05,0.95,0.83,0.84,0.39,0.434,0.372,0.498
Lubbock Lights - 1951,0.8,0.62,0.55,0.0,0.55,0.67,0.68,0.28,0.289,0.239,0.341
Levelland - 1957,0.65,0.75,0.6,0.03,0.63,0.65,0.66,0.26,0.268,0.22,0.318
Socorro - 1964,0.75,0.7,0.8,0.05,0.85,0.75,0.76,0.32,0.34,0.282,0.399
Valensole - 1965,0.6,0.7,0.6,0.04,0.64,0.6,0.61,0.24,0.252,0.205,0.301
Lonnie Zamora - 1964,0.8,0.8,0.9,0.05,0.95,0.8,0.81,0.38,0.407,0.348,0.467
Bentwaters - 1980,0.85,0.85,0.8,0.05,0.85,0.85,0.86,0.4,0.43,0.367,0.494
O'Hare - 2006,0.75,0.8,0.6,0.02,0.62,0.75,0.76,0.3,0.316,0.263,0.371
Stephenville - 2008,0.7,0.75,0.7,0.04,0.74,0.7,0.71,0.28,0.302,0.25,0.355
Chicago - 2017,0.65,0.65,0.55,0.02,0.57,0.65,0.66,0.25,0.266,0.218,0.315
Tic Tac - 2004,0.9,0.85,0.95,0.05,0.95,0.89,0.9,0.45,0.486,0.422,0.551
Hudson Valley - 1983,0.7,0.6,0.55,0.03,0.58,0.7,0.71,0.26,0.276,0.227,0.327
Shag Harbour - 1967,0.8,0.75,0.85,0.05,0.9,0.8,0.81,0.36,0.39,0.332,0.449
Westall - 1966,0.7,0.65,0.6,0.02,0.62,0.7,0.71,0.27,0.286,0.237,0.336
Carson Sink - 1952,0.6,0.5,0.5,0.01,0.51,0.6,0.61,0.2,0.211,0.171,0.253
Farmington Flap - 1950,0.65,0.6,0.5,0.02,0.52,0.65,0.66,0.23,0.245,0.201,0.29
Puebla - 1965,0.55,0.5,0.4,0.01,0.41,0.55,0.56,0.18,0.191,0.154,0.23
Keweenaw - 1952,0.6,0.55,0.45,0.02,0.47,0.6,0.61,0.2,0.214,0.174,0.256
Gulf Breeze - 1987,0.4,0.45,0.3,0.01,0.31,0.4,0.41,0.12,0.13,0.101,0.162
Gulf of Mexico - 2013,0.7,0.7,0.65,0.03,0.68,0.7,0.71,0.28,0.297,0.247,0.349
Aurora - 1990,0.5,0.55,0.4,0.01,0.41,0.5,0.51,0.16,0.173,0.138,0.21
Fayetteville - 1987,0.6,0.5,0.45,0.02,0.47,0.6,0.61,0.2,0.214,0.174,0.256
Monticello - 1988,0.55,0.5,0.4,0.01,0.41,0.55,0.56,0.18,0.191,0.154,0.23
Eureka - 1999,0.5,0.45,0.35,0.01,0.36,0.5,0.51,0.15,0.161,0.128,0.197
St. Clair - 2000,0.6,0.55,0.5,0.02,0.52,0.6,0.61,0.21,0.224,0.183,0.267
Clearwater - 2002,0.55,0.5,0.4,0.01,0.41,0.55,0.56,0.18,0.191,0.154,0.23
Topeka - 2005,0.5,0.45,0.4,0.01,0.41,0.5,0.51,0.16,0.173,0.138,0.21
Rapid City - 2008,0.65,0.6,0.5,0.02,0.52,0.65,0.66,0.23,0.245,0.201,0.29
Boise - 2011,0.6,0.55,0.45,0.02,0.47,0.6,0.61,0.2,0.214,0.174,0.256
Missoula - 2015,0.55,0.5,0.4,0.01,0.41,0.55,0.56,0.18,0.191,0.154,0.23
Helena - 2019,0.5,0.45,0.35,0.01,0.36,0.5,0.51,0.15,0.161,0.128,0.197
Billings - 2022,0.6,0.55,0.5,0.02,0.52,0.6,0.61,0.21,0.224,0.183,0.267
Casper - 2024,0.55,0.5,0.4,0.01,0.41,0.55,0.56,0.18,0.191,0.154,0.23
Great Falls - 2024,0.5,0.45,0.35,0.01,0.36,0.5,0.51,0.15,0.161,0.128,0.197
Bozeman - 2025,0.6,0.55,0.5,0.02,0.52,0.6,0.61,0.21,0.224,0.183,0.267
Final Calibration Node - 2026,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
